"district","active_customer_count","average_spending","most_spent_category"
"Abu Dhabi","6","5.1566666666666667","Sports"
"Abu Dhabi","5","5.3900000000000000","New"
"Abu Dhabi","4","4.2400000000000000","Games"
"Abu Dhabi","3","4.6566666666666667","Foreign"
"Abu Dhabi","2","4.4900000000000000","Travel"
"Aceh","4","4.2400000000000000","Foreign"
"Aceh","3","6.6566666666666667","Comedy"
"Aceh","2","4.9900000000000000","Family"
"Aceh","1","4.9900000000000000","Sports"
"Aceh","1","4.9900000000000000","Classics"
"Aceh","1","4.9900000000000000","Games"
"Aceh","1","7.9900000000000000","Sci-Fi"
"Adana","4","5.2400000000000000","Drama"
"Adana","4","4.2400000000000000","Action"
"Adana","3","5.9900000000000000","Comedy"
"Adana","2","4.4900000000000000","Family"
"Adana","1","4.9900000000000000","Sci-Fi"
"Adana","1","4.9900000000000000","Travel"
"Adana","1","5.9900000000000000","New"
"Addis Abeba","3","4.9900000000000000","Family"
"Addis Abeba","2","8.4900000000000000","Drama"
"Addis Abeba","2","4.4900000000000000","Children"
"Addis Abeba","1","6.9900000000000000","Foreign"
"Addis Abeba","1","7.9900000000000000","Documentary"
"Addis Abeba","1","4.9900000000000000","Music"
"Addis Abeba","1","5.9900000000000000","Sci-Fi"
"Aden","5","4.9900000000000000","New"
"Aden","3","7.6566666666666667","Foreign"
"Aden","3","5.9900000000000000","Sports"
"Aden","3","4.3233333333333333","Children"
"Aden","2","4.4900000000000000","Sci-Fi"
"Aden","1","8.9900000000000000","Music"
"Adygea","5","4.5900000000000000","Family"
"Adygea","4","6.2400000000000000","Sci-Fi"
"Adygea","3","4.3233333333333333","Games"
"Adygea","2","8.9900000000000000","Classics"
"Adygea","2","5.4900000000000000","Horror"
"Adygea","2","6.9900000000000000","Action"
"Adygea","1","4.9900000000000000","New"
"Adygea","1","5.9900000000000000","Documentary"
"Adygea","1","6.9900000000000000","Foreign"
"Ahal","4","4.2400000000000000","Family"
"Ahal","3","4.9900000000000000","Games"
"Ahal","3","5.9900000000000000","Documentary"
"Ahal","2","4.4900000000000000","Classics"
"Ahal","2","7.9900000000000000","Sports"
"Ahal","2","4.4900000000000000","Drama"
"Ahal","1","8.9900000000000000","Children"
"Ahal","1","4.9900000000000000","Comedy"
"al-Daqahliya","5","5.1900000000000000","Sports"
"al-Daqahliya","5","5.9900000000000000","Sci-Fi"
"al-Daqahliya","2","4.9900000000000000","Action"
"al-Daqahliya","2","6.9900000000000000","Drama"
"al-Daqahliya","1","4.9900000000000000","Classics"
"al-Daqahliya","1","6.9900000000000000","Family"
"al-Daqahliya","1","4.9900000000000000","Travel"
"al-Manama","5","4.5900000000000000","Sports"
"al-Manama","4","4.7400000000000000","Sci-Fi"
"al-Manama","3","4.3233333333333333","Action"
"al-Manama","1","4.9900000000000000","Documentary"
"al-Manama","1","4.9900000000000000","Games"
"al-Manama","1","4.9900000000000000","Classics"
"al-Manama","1","9.9900000000000000","New"
"al-Manama","1","4.9900000000000000","Foreign"
"al-Manama","1","4.9900000000000000","Drama"
"al-Qadarif","2","6.4900000000000000","Comedy"
"al-Qadarif","1","5.9900000000000000","Horror"
"al-Qalyubiya","6","5.8233333333333333","Sci-Fi"
"al-Qalyubiya","5","5.1900000000000000","Drama"
"al-Qalyubiya","4","4.9900000000000000","Sports"
"al-Qalyubiya","3","4.9900000000000000","Action"
"al-Qalyubiya","3","6.6566666666666667","Comedy"
"al-Qalyubiya","3","4.9900000000000000","New"
"al-Qalyubiya","1","4.9900000000000000","Travel"
"al-Qalyubiya","1","6.9900000000000000","Music"
"al-Qalyubiya","1","6.9900000000000000","Family"
"al-Sharqiya","5","5.7900000000000000","New"
"al-Sharqiya","4","5.9900000000000000","Sci-Fi"
"al-Sharqiya","3","4.3233333333333333","Travel"
"al-Sharqiya","2","5.4900000000000000","Horror"
"al-Sharqiya","2","4.9900000000000000","Foreign"
"al-Sharqiya","2","4.9900000000000000","Music"
"al-Sharqiya","1","4.9900000000000000","Classics"
